transaction_id,account_id,bank_name,transaction_type,amount,currency,transaction_date,status,description,merchant_name,reference,transaction_category
TRX8818358,ACC795644,FNB,EFT,14916.63,ZAR,2024-05-01 10:02:19,Completed,Fill social tell bit power.,,REF831388,Bills & Utilities
TRX8288209,ACC744499,Standard Bank,Online Payment,41323.03,ZAR,2023-02-14 15:27:40,Pending,Tree system or join.,White-Mann Retail,REF422507,Shopping
TRX9602836,ACC694754,Discovery Bank,Debit Order,42165.79,ZAR,2024-06-12 01:47:13,Failed,Seven later effect move meet up world.,,REF307699,Healthcare
TRX5711061,ACC266192,FNB,Withdrawal,1329.23,ZAR,2023-03-27 08:46:20,Pending,Together old nearly wall minute throw series.,,REF903220,Food & Dining
TRX8960288,ACC714324,Nedbank,Debit Order,39982.23,ZAR,2023-06-27 00:24:32,Completed,Value determine official cultural.,,REF139520,Shopping
TRX9200016,ACC204144,Capitec,EFT,35958.7,ZAR,2023-05-22 06:48:21,Pending,Catch sea relationship loss by.,,REF289879,Healthcare
TRX5849099,ACC563792,Standard Bank,ATM Withdrawal,44127.85,ZAR,2024-09-15 23:08:24,Completed,Appear religious fear floor.,,REF622053,Shopping
TRX5326106,ACC207670,Capitec,Deposit,37898.04,ZAR,2024-02-29 17:03:25,Failed,Upon call wear smile property within.,,REF119877,Entertainment
TRX4677472,ACC926452,TymeBank,ATM Withdrawal,22917.99,ZAR,2023-03-28 12:13:16,Completed,Theory six line white talk enjoy blood.,,REF842632,Transport
TRX4684731,ACC798638,FNB,Withdrawal,43211.21,ZAR,2023-05-05 21:20:46,Completed,Out risk soldier. Next pretty exist cold.,,REF642859,Food & Dining
TRX3917035,ACC711753,TymeBank,Cash Deposit,24548.26,ZAR,2023-03-17 11:05:32,Completed,Great game never likely stand become make.,,REF618369,Entertainment
TRX1645411,ACC677903,Capitec,EFT,30074.4,ZAR,2024-04-11 18:49:47,Completed,Knowledge the off food heart accept.,,REF229172,Transport
TRX3066251,ACC985775,TymeBank,Online Payment,3191.86,ZAR,2023-12-18 02:01:27,Failed,Our fight benefit size less your great.,Smith Group Restaurant,REF385578,Shopping
TRX6553162,ACC131674,Capitec,Withdrawal,6586.85,ZAR,2023-02-10 15:19:30,Completed,But reduce garden suddenly station.,,REF348035,Bills & Utilities
TRX7329915,ACC871394,ABSA,ATM Withdrawal,37795.86,ZAR,2023-12-14 17:51:24,Completed,Message must special hand reason light.,,REF198022,Bills & Utilities
TRX3636249,ACC755277,Nedbank,ATM Withdrawal,40314.73,ZAR,2024-03-26 13:15:30,Failed,Other fight reason agent.,,REF427197,Healthcare
TRX7410154,ACC849647,Standard Bank,Deposit,33322.11,ZAR,2023-06-12 14:59:39,Failed,Quite sign gas level may institution tell data.,,REF418316,Food & Dining
TRX7899874,ACC837814,Discovery Bank,Card Payment,36407.0,ZAR,2023-03-22 07:52:58,Completed,Adult off hope style nature save.,Williams-Evans Grocery,REF279821,Healthcare
TRX8091872,ACC305891,ABSA,Card Payment,30219.64,ZAR,2024-08-27 19:56:44,Pending,Stuff station worry shake activity.,"Payne, Fritz and Harris Entertainment",REF110148,Entertainment
TRX4484864,ACC455346,FNB,Card Payment,24912.78,ZAR,2024-01-17 17:34:37,Completed,Would often whole benefit finish democratic test.,Hernandez-Townsend Grocery,REF430553,Shopping
TRX2794952,ACC480367,Capitec,Debit Order,9715.68,ZAR,2024-09-27 13:43:44,Pending,Situation production usually skin.,,REF507570,Entertainment
TRX3793136,ACC697331,Capitec,Online Payment,4351.17,ZAR,2024-11-13 18:51:12,Pending,Show clearly as fire skin place.,"Greene, Merritt and Black Entertainment",REF686918,Bills & Utilities
TRX2919457,ACC114615,Capitec,Cash Deposit,30875.97,ZAR,2024-06-05 15:16:48,Completed,Sign represent I often former.,,REF853529,Transport
TRX6754380,ACC174180,ABSA,Debit Order,8393.48,ZAR,2023-04-19 21:07:40,Pending,Hundred million man include article it us.,,REF266910,Food & Dining
TRX9277560,ACC550557,TymeBank,Card Payment,277.95,ZAR,2024-02-01 03:20:03,Completed,And suggest perform present source.,"Morris, Patterson and Patterson Grocery",REF640413,Shopping
TRX2637817,ACC346767,Standard Bank,Deposit,24378.63,ZAR,2023-03-31 21:29:39,Completed,Former kitchen never local need write.,,REF141913,Entertainment
TRX3523313,ACC994925,FNB,Online Payment,8836.75,ZAR,2023-11-29 08:26:30,Completed,Marriage protect white push.,Hernandez-Mitchell Entertainment,REF871151,Entertainment
TRX9234710,ACC539032,FNB,Deposit,38265.2,ZAR,2024-05-29 04:31:36,Completed,Kind red about officer down color.,,REF144038,Food & Dining
